Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2019-06-16,African tulip- Spathodea campanulata,2.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2023-04-14,African tulip- Spathodea campanulata,1.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2023,13
2023-11-26,Albizia odoratissima-Black Siris,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,42
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,2.0,-2.0,2023,13
2023-04-15,Amla- Phyllanthus emblica,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023,13
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,2.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,2.0,-2.0,2023,12
2023-04-08,Amla- Phyllanthus emblica,2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,12
2022-03-21,Amla- Phyllanthus emblica,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,10
2019-06-16,Amla- Phyllanthus emblica,2.0,2.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2019-06-14,Arjun tree- Terminalia arjuna,1.0,2.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2023-04-02,Arjun tree- Terminalia arjuna,2.0,2.0,1.0,2.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2023,11
2019-09-14,Babool- Acacia nilotica,1.0,2.0,-1.0,-2.0,2.0,-2.0,-2.0,-2.0,-1.0,-2.0,2019,33
2020-01-08,Babool- Acacia nilotica,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2020,1
2023-11-10,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40
2020-02-23,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,2020,6
2020-02-23,Banyan-Ficus benghalensis,0.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,2020,6
2023-04-09,Banyan-Ficus benghalensis,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2023,12
2023-04-09,Banyan-Ficus benghalensis,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023,12
2023-04-09,Banyan-Ficus benghalensis,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,12
2023-04-09,Banyan-Ficus benghalensis,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,12
2019-06-14,Banyan-Ficus benghalensis,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,2019,21
2022-08-24,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,2022,30
2022-08-24,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2022,30
2019-06-16,Bottle brush-Melaleuca viminalis,1.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2019-03-23,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,10
2019-03-25,Bottle brush-Melaleuca viminalis,2.0,1.0,0.0,1.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2019,10
2020-01-08,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,2.0,-2.0,2020,1
2019-06-17,Champa- Michelia champaca,2.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2023-02-07,Coconut palm-Cocos nucifera,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,4
2023-02-04,Coconut palm-Cocos nucifera,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,4
2019-06-14,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2023-05-12,Copper-pod- Peltophorum pterocarpum,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,16
2019-06-04,Country Fig- Ficus racemosa,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,-2.0,2019,19
2019-06-14,Country Fig- Ficus racemosa,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,2019,21
2019-09-16,Country Fig- Ficus racemosa,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,33
2019-09-14,Country Fig- Ficus racemosa,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2019,33
2019-09-19,Crepe Jasmine- Tabernaemontana divaricata,2.0,2.0,0.0,2.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,33
2019-06-17,Crepe Jasmine- Tabernaemontana divaricata,2.0,2.0,1.0,-2.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
2019-09-16,Crepe Jasmine- Tabernaemontana divaricata,1.0,2.0,0.0,-2.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,33
2023-02-10,Curry leaf plant-Murraya koenigii,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,5
2019-06-14,Curry leaf plant-Murraya koenigii,2.0,2.0,0.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,2019,21
