Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2018-12-01,African tulip- Spathodea campanulata,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2019-03-17,African tulip- Spathodea campanulata,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2019,9
2022-08-21,Amla- Phyllanthus emblica,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,2022,30
2019-03-18,Arjun tree- Terminalia arjuna,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,2.0,-2.0,2019,9
2019-03-17,Arjun tree- Terminalia arjuna,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2019,9
2018-12-01,Arjun tree- Terminalia arjuna,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2018,43
2022-08-21,Arjun tree- Terminalia arjuna,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2023-03-19,Arjun tree- Terminalia arjuna,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2023,10
2023-03-19,Arjun tree- Terminalia arjuna,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2023,10
2022-08-21,Axlewood tree- Anogeissus latifolia,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2019-03-18,Babool- Acacia nilotica,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
2023-11-20,Babool- Acacia nilotica,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,41
2019-09-13,Babool- Acacia nilotica,2.0,1.0,0.0,2.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,32
2023-11-01,Babool- Acacia nilotica,-2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2023-11-07,Babool- Acacia nilotica,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2023,40
2019-03-17,Babool- Acacia nilotica,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
2018-12-01,Babool- Acacia nilotica,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2018-12-01,Babool- Acacia nilotica,1.0,2.0,0.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,2018,43
2018-12-01,Babool- Acacia nilotica,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,43
2019-03-16,Banyan-Ficus benghalensis,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
2023-11-07,Banyan-Ficus benghalensis,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2023,40
2019-03-18,Banyan-Ficus benghalensis,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-17,Banyan-Ficus benghalensis,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-06-15,Banyan-Ficus benghalensis,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,2019,21
2019-09-13,Banyan-Ficus benghalensis,2.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,32
2018-12-01,Banyan-Ficus benghalensis,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,2018,43
2022-08-21,Banyan-Ficus benghalensis,0.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2022-08-21,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2022-08-21,Banyan-Ficus benghalensis,0.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2022-08-21,Banyan-Ficus benghalensis,0.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2018-12-01,Beheda- Terminalia bellirica,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2023-03-14,Ber-Ziziphus mauritiana,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2023,9
2023-03-06,Ber-Ziziphus mauritiana,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023,8
2019-03-18,Champa- Michelia champaca,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,2019,9
2019-12-06,Chandada- Macaranga peltata,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,43
2022-08-31,Chiku- Sapodilla-Manilkara zapota ,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2022,31
2019-03-17,Coconut palm-Cocos nucifera,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-17,Coconut palm-Cocos nucifera,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-15,Coconut palm-Cocos nucifera,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2023-11-07,Coconut palm-Cocos nucifera,2.0,2.0,1.0,-1.0,-1.0,-2.0,-2.0,2.0,2.0,-2.0,2023,40
2023-01-07,Coconut palm-Cocos nucifera,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2023,0
2019-03-17,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2019,9
2019-03-15,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-15,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-15,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2019-03-17,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
2019-03-16,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2019,9
2020-01-30,Copper-pod- Peltophorum pterocarpum,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,2.0,2.0,-2.0,2020,3
2018-12-01,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2018,43
2018-12-01,Copper-pod- Peltophorum pterocarpum,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2018-12-01,Copper-pod- Peltophorum pterocarpum,2.0,2.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
2018-11-29,Curry leaf plant-Murraya koenigii,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,42
2023-11-07,Curry leaf plant-Murraya koenigii,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,-1.0,0.0,-2.0,2023,40
2018-12-01,Custard apple-Annona squamosa,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2018,43
2018-12-10,Custard apple-Annona squamosa,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,44
2019-01-27,Custard apple-Annona squamosa,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,3
2023-07-30,Custard apple-Annona squamosa,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2023,27
2019-01-04,Custard apple-Annona squamosa,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,0
2019-01-07,Custard apple-Annona squamosa,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,0
2019-03-14,Custard apple-Annona squamosa,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2019,9
2023-10-24,Custard apple-Annona squamosa,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2023,38
2023-11-01,Custard apple-Annona squamosa,-2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2019-09-13,Devil's tree- Alstonia scholaris,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2019,32
2019-03-17,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
2019-03-18,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,2.0,-2.0,2019,9
2023-03-20,East Indian satinwood-Chloroxylon swietenia,0.0,1.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,10
2023-03-20,East Indian satinwood-Chloroxylon swietenia,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2023,10
2023-03-20,East Indian satinwood-Chloroxylon swietenia,1.0,2.0,2.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,10
2023-03-20,East Indian satinwood-Chloroxylon swietenia,1.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,10
2023-11-21,Ficus mollis-Soft fig,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,2023,41
2023-07-30,Fish-tail palm- Caryota urens,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,27
2019-03-18,Flame of the forest- Butea monosperma,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
2023-03-19,Flame of the forest- Butea monosperma,0.0,0.0,2.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,10
2023-03-19,Flame of the forest- Butea monosperma,0.0,0.0,2.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,10
2023-03-19,Flame of the forest- Butea monosperma,0.0,0.0,2.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,10
2023-03-19,Flame of the forest- Butea monosperma,1.0,0.0,2.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,10
2023-03-20,Flame of the forest- Butea monosperma,0.0,2.0,2.0,2.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,2023,10
2023-03-20,Flame of the forest- Butea monosperma,0.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,0.0,-2.0,2023,10
2019-01-07,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,0
2019-01-04,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,0
2023-06-09,Guava tree-Psidium guajava,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,20
2018-12-10,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,44
2019-03-14,Guava tree-Psidium guajava,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2019,9
2019-01-27,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,3
2022-08-21,Guava tree-Psidium guajava,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.0,-2.0,-2.0,2022,30
2018-12-01,Guava tree-Psidium guajava,1.0,2.0,,0.0,0.0,,,0.0,1.0,,2018,43
2018-12-01,Guava tree-Psidium guajava,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,43
2018-12-01,Gulmohur- Delonix regia,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,2018,43
2023-11-07,Gulmohur- Delonix regia,2.0,2.0,1.0,1.0,2.0,-2.0,-2.0,1.0,-1.0,2.0,2023,40
