Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2022-08-21,Amla- Phyllanthus emblica,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2022,30
2022-09-06,Amla- Phyllanthus emblica,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2022,32
2022-08-30,Amla- Phyllanthus emblica,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2022,31
2023-06-08,Apple-Malus domestica,2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,20
2022-08-26,Arjun tree- Terminalia arjuna,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2022,30
2022-08-22,Badminton-ball tree- Parkia biglandulosa,2.0,1.0,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2022,30
2022-08-30,Badminton-ball tree- Parkia biglandulosa,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,31
2023-07-30,Banyan-Ficus benghalensis,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,27
2022-08-24,Banyan-Ficus benghalensis,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2022-08-26,Bottle brush-Melaleuca viminalis,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2022-08-30,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,31
2022-08-22,Chinaberry- Melia azedarach,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,-2.0,2022,30
2023-06-18,Chir pine-Pinus roxburghii,2.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,2023,21
2022-08-30,Chir pine-Pinus roxburghii,1.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,2022,31
2022-09-07,Chir pine-Pinus roxburghii,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,2022,32
2022-08-30,Country Fig- Ficus racemosa,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,2022,31
2021-09-01,Curry leaf plant-Murraya koenigii,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,31
2022-08-26,Devil's tree- Alstonia scholaris,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,30
2023-08-14,Gamar- Gmelina arborea,2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,29
2022-08-22,Gamar- Gmelina arborea,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2023-09-14,Gamar- Gmelina arborea,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,33
2021-08-30,Grey Oak- Quercus leucotrichophora,2.0,2.0,0.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,2021,31
2023-12-07,Guava tree-Psidium guajava,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,43
2023-12-06,Guava tree-Psidium guajava,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,43
2023-05-24,Guava tree-Psidium guajava,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2023,18
2023-02-04,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4
2023-02-15,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-02-15,Guava tree-Psidium guajava,0.0,2.0,1.0,0.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,5
2023-02-19,Guava tree-Psidium guajava,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-01-19,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2
2023-08-24,Guava tree-Psidium guajava,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2023,30
2023-09-23,Guava tree-Psidium guajava,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,34
2023-09-23,Guava tree-Psidium guajava,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2023,34
2023-01-28,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023,3
2023-02-11,Guava tree-Psidium guajava,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-09-30,Guava tree-Psidium guajava,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023,35
2023-03-03,Guava tree-Psidium guajava,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7
2023-09-08,Guava tree-Psidium guajava,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2023,32
2023-06-01,Guava tree-Psidium guajava,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2023,19
2023-09-17,Guava tree-Psidium guajava,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2023,33
2022-08-22,Guava tree-Psidium guajava,1.0,2.0,0.0,1.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2022,30
2023-06-23,Guava tree-Psidium guajava,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2023,22
2023-11-18,Guava tree-Psidium guajava,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2023,41
2023-07-29,Guava tree-Psidium guajava,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2023,27
2022-08-30,Guava tree-Psidium guajava,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2022,31
2023-08-16,Guava tree-Psidium guajava,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2023,29
2023-06-13,Guava tree-Psidium guajava,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2023,21
2022-09-07,Guava tree-Psidium guajava,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2022,32
2022-08-24,Gulmohur- Delonix regia,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,30
2022-08-26,Gulmohur- Delonix regia,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,1.0,-1.0,2022,30
2022-08-30,Himalayan Cherry- Prunus cerasoides,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,31
2022-08-22,Himalayan Cherry- Prunus cerasoides,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,30
2023-07-10,Himalayan rhododendron- Rhododendron arboreum,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,24
2023-11-09,Himalayan rhododendron- Rhododendron arboreum,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,40
2023-10-29,Himalayan rhododendron- Rhododendron arboreum,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,38
2023-05-27,Himalayan rhododendron- Rhododendron arboreum,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,18
2023-06-02,Indian Almond- Terminalia catappa,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,19
2023-01-28,Indian Almond- Terminalia catappa,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3
2023-02-21,Indian Almond- Terminalia catappa,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-02-08,Indian Almond- Terminalia catappa,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-01-12,Indian Almond- Terminalia catappa,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,1
2023-03-29,Indian Almond- Terminalia catappa,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-09-07,Indian Horsechestnut- Aesculus indica,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,32
2022-08-30,Indian laburnum- Cassia fistula,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2022,31
