,id,species_id,species_name,updated_at,week,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open
0,1,1000,,,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
1,1,1000,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2,1,1000,,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3,1,1000,,,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4,1,1000,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5,1,1000,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
6,1,1000,,,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7,1,1000,,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
8,1,1000,,,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
9,1,1000,,,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10,1,1000,,,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
11,1,1000,,,11,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
12,1,1000,,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
13,1,1000,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
14,1,1000,,,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
15,1,1000,,,15,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
16,1,1000,,,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
17,1,1000,,,17,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
18,1,1000,,,18,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
19,1,1000,,,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
20,1,1000,,,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
21,1,1000,,,21,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
22,1,1000,,,22,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
23,1,1000,,,23,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24,1,1000,,,24,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
25,1,1000,,,25,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
26,1,1000,,,26,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
27,1,1000,,,27,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
28,1,1000,,,28,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
29,1,1000,,,29,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
30,1,1000,,,30,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
31,1,1000,,,31,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
32,1,1000,,,32,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
33,1,1000,,,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
34,1,1000,,,34,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
35,1,1000,,,35,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36,1,1000,,,36,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
37,1,1000,,,37,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
38,1,1000,,,38,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
39,1,1000,,,39,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
40,1,1000,,,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
41,1,1000,,,41,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
42,1,1000,,,42,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
43,1,1000,,,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
44,1,1000,,,44,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
45,1,1000,,,45,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
46,1,1000,,,46,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
47,1,1000,,,47,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
48,2,1001,,,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
49,2,1001,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
50,2,1001,,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
51,2,1001,,,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
52,2,1001,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53,2,1001,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
54,2,1001,,,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
55,2,1001,,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
56,2,1001,,,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
57,2,1001,,,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
58,2,1001,,,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
59,2,1001,,,11,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
60,2,1001,,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
61,2,1001,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
62,2,1001,,,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
63,2,1001,,,15,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
64,2,1001,,,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
65,2,1001,,,17,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
66,2,1001,,,18,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
67,2,1001,,,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
68,2,1001,,,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
69,2,1001,,,21,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
70,2,1001,,,22,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
71,2,1001,,,23,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
72,2,1001,,,24,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
73,2,1001,,,25,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
74,2,1001,,,26,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
75,2,1001,,,27,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76,2,1001,,,28,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
77,2,1001,,,29,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
78,2,1001,,,30,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
79,2,1001,,,31,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
80,2,1001,,,32,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
81,2,1001,,,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
82,2,1001,,,34,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
83,2,1001,,,35,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
84,2,1001,,,36,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
85,2,1001,,,37,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
86,2,1001,,,38,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
87,2,1001,,,39,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
88,2,1001,,,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
89,2,1001,,,41,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
90,2,1001,,,42,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
91,2,1001,,,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
92,2,1001,,,44,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
93,2,1001,,,45,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
94,2,1001,,,46,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
95,2,1001,,,47,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
96,3,1007,,,0,-2,-2,-2,0,0,-2,-2,0,0,-2
97,3,1007,,,1,-2,-2,-2,0,0,-2,-2,0,0,-2
98,3,1007,,,2,-2,-2,-2,0,0,-2,-2,0,0,-2
99,3,1007,,,3,-2,-2,-2,0,0,-2,-2,0,0,-2
100,3,1007,,,4,-2,-2,-2,0,0,-2,-2,0,0,-2
101,3,1007,,,5,-2,-2,-2,0,0,-2,-2,0,0,-2
102,3,1007,,,6,-2,-2,-2,0,0,-2,-2,0,0,-2
103,3,1007,,,7,-2,-2,-2,0,0,-2,-2,0,0,-2
104,3,1007,,,8,-2,-2,-2,0,0,-2,-2,0,0,-2
105,3,1007,,,9,-2,-2,-2,0,0,-2,-2,0,0,-2
106,3,1007,,,10,-2,-2,-2,0,0,-2,-2,0,0,-2
107,3,1007,,,11,-2,-2,-2,0,0,-2,-2,0,0,-2
108,3,1007,,,12,-2,-2,-2,0,0,-2,-2,0,0,-2
109,3,1007,,,13,-2,-2,-2,0,0,-2,-2,0,0,-2
110,3,1007,,,14,-2,-2,-2,0,0,-2,-2,0,0,-2
111,3,1007,,,15,-2,-2,-2,0,0,-2,-2,0,0,-2
112,3,1007,,,16,-2,-2,-2,0,0,-2,-2,0,0,-2
113,3,1007,,,17,-2,-2,-2,0,0,-2,-2,0,0,-2
114,3,1007,,,18,-2,-2,-2,0,0,-2,-2,0,0,-2
115,3,1007,,,19,-2,-2,-2,0,0,-2,-2,0,0,-2
116,3,1007,,,20,-2,-2,-2,0,0,-2,-2,0,0,-2
117,3,1007,,,21,-2,-2,-2,0,0,-2,-2,0,0,-2
118,3,1007,,,22,-2,-2,-2,0,0,-2,-2,0,0,-2
119,3,1007,,,23,-2,-2,-2,0,0,-2,-2,0,0,-2
120,3,1007,,,24,-2,-2,-2,0,0,-2,-2,0,0,-2
121,3,1007,,,25,-2,-2,-2,0,0,-2,-2,0,0,-2
122,3,1007,,,26,-2,-2,-2,0,0,-2,-2,0,0,-2
123,3,1007,,,27,-2,-2,-2,0,0,-2,-2,0,0,-2
124,3,1007,,,28,-2,-2,-2,1,1,-2,-2,1,1,-2
125,3,1007,,,29,-2,-2,-2,1,1,-2,-2,1,1,-2
126,3,1007,,,30,-2,-2,-2,1,1,-2,-2,1,1,-2
127,3,1007,,,31,-2,-2,-2,1,1,-2,-2,1,1,-2
128,3,1007,,,32,-2,-2,-2,1,1,-2,-2,1,1,-2
129,3,1007,,,33,-2,-2,-2,1,1,-2,-2,1,1,-2
130,3,1007,,,34,-2,-2,-2,1,1,-2,-2,1,1,-2
131,3,1007,,,35,-2,-2,-2,1,1,-2,-2,1,1,-2
132,3,1007,,,36,-2,-2,-2,1,1,-2,-2,1,1,-2
133,3,1007,,,37,-2,-2,-2,1,1,-2,-2,1,1,-2
134,3,1007,,,38,-2,-2,-2,1,1,-2,-2,1,1,-2
135,3,1007,,,39,-2,-2,-2,1,1,-2,-2,1,1,-2
136,3,1007,,,40,-2,-2,-2,1,1,-2,-2,1,1,-2
137,3,1007,,,41,-2,-2,-2,1,1,-2,-2,1,1,-2
138,3,1007,,,42,-2,-2,-2,1,1,-2,-2,1,1,-2
139,3,1007,,,43,-2,-2,-2,1,1,-2,-2,1,1,-2
140,3,1007,,,44,-2,-2,-2,1,1,-2,-2,1,1,-2
141,3,1007,,,45,-2,-2,-2,1,1,-2,-2,1,1,-2
142,3,1007,,,46,-2,-2,-2,1,1,-2,-2,1,1,-2
143,3,1007,,,47,-2,-2,-2,1,1,-2,-2,1,1,-2
144,4,1012,,,0,-2,-2,-2,0,0,-2,-2,0,0,0
145,4,1012,,,1,-2,-2,-2,0,0,-2,-2,0,0,0
146,4,1012,,,2,-2,-2,-2,0,0,-2,-2,0,0,0
147,4,1012,,,3,-2,-2,-2,0,0,-2,-2,0,0,0
148,4,1012,,,4,-2,-2,-2,0,0,-2,-2,0,0,0
149,4,1012,,,5,-2,-2,-2,0,0,-2,-2,0,0,0
150,4,1012,,,6,-2,-2,-2,0,0,-2,-2,0,0,0
151,4,1012,,,7,-2,-2,-2,0,0,-2,-2,0,0,0
152,4,1012,,,8,-2,-2,-2,0,0,-2,-2,0,0,0
153,4,1012,,,9,-2,-2,-2,0,0,-2,-2,0,0,0
154,4,1012,,,10,-2,-2,-2,0,0,-2,-2,0,0,0
155,4,1012,,,11,-2,-2,-2,0,0,-2,-2,0,0,0
156,4,1012,,,12,-2,-2,-2,0,0,-2,-2,0,0,0
157,4,1012,,,13,-2,-2,-2,0,0,-2,-2,0,0,0
158,4,1012,,,14,-2,-2,-2,0,0,-2,-2,0,0,0
159,4,1012,,,15,-2,-2,-2,0,0,-2,-2,0,0,0
160,4,1012,,,16,-2,-2,-2,0,0,-2,-2,0,0,0
161,4,1012,,,17,-2,-2,-2,0,0,-2,-2,0,0,0
162,4,1012,,,18,-2,-2,-2,0,0,-2,-2,0,0,0
163,4,1012,,,19,-2,-2,-2,0,0,-2,-2,0,0,0
164,4,1012,,,20,-2,-2,-2,0,0,-2,-2,0,0,0
165,4,1012,,,21,-2,-2,-2,0,0,-2,-2,0,0,0
166,4,1012,,,22,-2,-2,-2,0,0,-2,-2,0,0,0
167,4,1012,,,23,-2,-2,-2,0,0,-2,-2,0,0,0
168,4,1012,,,24,-2,-2,-2,0,0,-2,-2,0,0,0
169,4,1012,,,25,-2,-2,-2,0,0,-2,-2,0,0,0
170,4,1012,,,26,-2,-2,-2,0,0,-2,-2,0,0,0
171,4,1012,,,27,-2,-2,-2,0,0,-2,-2,0,0,0
172,4,1012,,,28,-2,-2,-2,0,0,-2,-2,0,0,0
173,4,1012,,,29,-2,-2,-2,0,0,-2,-2,0,0,0
174,4,1012,,,30,-2,-2,-2,0,0,-2,-2,0,0,0
175,4,1012,,,31,-2,-2,-2,0,0,-2,-2,0,0,0
176,4,1012,,,32,-2,-2,-2,1,1,-2,-2,1,1,1
177,4,1012,,,33,-2,-2,-2,1,1,-2,-2,1,1,1
178,4,1012,,,34,-2,-2,-2,1,1,-2,-2,1,1,1
179,4,1012,,,35,-2,-2,-2,1,1,-2,-2,1,1,1
180,4,1012,,,36,-2,-2,-2,1,1,-2,-2,1,1,1
181,4,1012,,,37,-2,-2,-2,1,1,-2,-2,1,1,1
182,4,1012,,,38,-2,-2,-2,1,1,-2,-2,1,1,1
183,4,1012,,,39,-2,-2,-2,1,1,-2,-2,1,1,1
184,4,1012,,,40,-2,-2,-2,1,1,-2,-2,1,1,1
185,4,1012,,,41,-2,-2,-2,1,1,-2,-2,1,1,1
186,4,1012,,,42,-2,-2,-2,1,1,-2,-2,1,1,1
187,4,1012,,,43,-2,-2,-2,1,1,-2,-2,1,1,1
188,4,1012,,,44,-2,-2,-2,1,1,-2,-2,1,1,1
189,4,1012,,,45,-2,-2,-2,1,1,-2,-2,1,1,1
