,id,species_id,species_name,created_at,updated_at,week,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open
0,1,1012,,,,0,-2,-2,-2,0,0,-2,-2,0,0,0
1,1,1012,,,,1,-2,-2,-2,0,0,-2,-2,0,0,0
2,1,1012,,,,2,-2,-2,-2,0,0,-2,-2,0,0,0
3,1,1012,,,,3,-2,-2,-2,0,0,-2,-2,0,0,0
4,1,1012,,,,4,-2,-2,-2,0,0,-2,-2,0,0,0
5,1,1012,,,,5,-2,-2,-2,0,0,-2,-2,0,0,0
6,1,1012,,,,6,-2,-2,-2,0,0,-2,-2,0,0,0
7,1,1012,,,,7,-2,-2,-2,0,0,-2,-2,0,0,0
8,1,1012,,,,8,-2,-2,-2,0,0,-2,-2,0,0,0
9,1,1012,,,,9,-2,-2,-2,0,0,-2,-2,0,0,0
10,1,1012,,,,10,-2,-2,-2,0,0,-2,-2,0,0,0
11,1,1012,,,,11,-2,-2,-2,0,0,-2,-2,0,0,0
12,1,1012,,,,12,-2,-2,-2,0,0,-2,-2,0,0,0
13,1,1012,,,,13,-2,-2,-2,0,0,-2,-2,0,0,0
14,1,1012,,,,14,-2,-2,-2,0,0,-2,-2,0,0,0
15,1,1012,,,,15,-2,-2,-2,0,0,-2,-2,0,0,0
16,1,1012,,,,16,-2,-2,-2,0,0,-2,-2,0,0,0
17,1,1012,,,,17,-2,-2,-2,0,0,-2,-2,0,0,0
18,1,1012,,,,18,-2,-2,-2,0,0,-2,-2,0,0,0
19,1,1012,,,,19,-2,-2,-2,0,0,-2,-2,0,0,0
20,1,1012,,,,20,-2,-2,-2,0,0,-2,-2,0,0,0
21,1,1012,,,,21,-2,-2,-2,0,0,-2,-2,0,0,0
22,1,1012,,,,22,-2,-2,-2,0,0,-2,-2,0,0,0
23,1,1012,,,,23,-2,-2,-2,0,0,-2,-2,0,0,0
24,1,1012,,,,24,-2,-2,-2,0,0,-2,-2,0,0,0
25,1,1012,,,,25,-2,-2,-2,0,0,-2,-2,0,0,0
26,1,1012,,,,26,-2,-2,-2,0,0,-2,-2,0,0,0
27,1,1012,,,,27,-2,-2,-2,0,0,-2,-2,0,0,0
28,1,1012,,,,28,-2,-2,-2,1,1,-2,-2,1,1,1
29,1,1012,,,,29,-2,-2,-2,1,1,-2,-2,1,1,1
30,1,1012,,,,30,-2,-2,-2,1,1,-2,-2,1,1,1
31,1,1012,,,,31,-2,-2,-2,1,1,-2,-2,1,1,1
32,1,1012,,,,32,-2,-2,-2,1,1,-2,-2,1,1,1
33,1,1012,,,,33,-2,-2,-2,1,1,-2,-2,1,1,1
34,1,1012,,,,34,-2,-2,-2,1,1,-2,-2,1,1,1
35,1,1012,,,,35,-2,-2,-2,1,1,-2,-2,1,1,1
36,1,1012,,,,36,-2,-2,-2,1,1,-2,-2,1,1,1
37,1,1012,,,,37,-2,-2,-2,1,1,-2,-2,1,1,1
38,1,1012,,,,38,-2,-2,-2,1,1,-2,-2,1,1,1
39,1,1012,,,,39,-2,-2,-2,1,1,-2,-2,1,1,1
40,1,1012,,,,40,-2,-2,-2,1,1,-2,-2,1,1,1
41,1,1012,,,,41,-2,-2,-2,1,1,-2,-2,1,1,1
42,1,1012,,,,42,-2,-2,-2,1,1,-2,-2,1,1,1
43,1,1012,,,,43,-2,-2,-2,1,1,-2,-2,1,1,1
44,1,1012,,,,44,-2,-2,-2,1,1,-2,-2,1,1,1
45,1,1012,,,,45,-2,-2,-2,1,1,-2,-2,1,1,1
46,1,1012,,,,46,-2,-2,-2,1,1,-2,-2,1,1,1
47,1,1012,,,,47,-2,-2,-2,1,1,-2,-2,1,1,1
48,2,1007,,,,0,-2,-2,-2,0,0,-2,-2,0,0,-2
49,2,1007,,,,1,-2,-2,-2,0,0,-2,-2,0,0,-2
50,2,1007,,,,2,-2,-2,-2,0,0,-2,-2,0,0,-2
51,2,1007,,,,3,-2,-2,-2,0,0,-2,-2,0,0,-2
52,2,1007,,,,4,-2,-2,-2,0,0,-2,-2,0,0,-2
53,2,1007,,,,5,-2,-2,-2,0,0,-2,-2,0,0,-2
54,2,1007,,,,6,-2,-2,-2,0,0,-2,-2,0,0,-2
55,2,1007,,,,7,-2,-2,-2,0,0,-2,-2,0,0,-2
