Species_name,Year,Phenophase,Phenophase_start_week,Max_Initiation_probability,Mean_initiation_week,Mean_initiation_probability,Phenophase_end_week,Max_end_probability,Mean_end_week,Mean_end_probability
Mango (all varieties)-Mangifera indica,2023,Fruits_unripe,32,0.08941715979325761,18,0.015172730738683584,17,0.07017614289579796,17,0.00540821814844667
Mango (all varieties)-Mangifera indica,2018,Fruits_ripe,47,0.07660588404961818,46,0.02321179044753807,21,0.09649249134111666,23,0.0015171659194132565
Mango (all varieties)-Mangifera indica,2019,Fruits_ripe,47,0.09470073070537229,45,0.06800699720730438,23,0.09557104751305605,24,0.002290545598590664
Mango (all varieties)-Mangifera indica,2020,Fruits_ripe,44,0.06098810333263792,44,0.06098810333263792,20,0.09642982520525827,22,0.00030580313993930656
Mango (all varieties)-Mangifera indica,2021,Fruits_ripe,46,0.08056891347439239,45,0.07170279981807855,23,0.07482019052132093,23,0.001344453649796237
Mango (all varieties)-Mangifera indica,2022,Fruits_ripe,45,0.07076849640677753,43,0.052354837641447736,18,0.08920087085515255,21,0.0019075891677205218
Mango (all varieties)-Mangifera indica,2023,Fruits_ripe,29,0.23742054087703007,14,0.020433465385622504,18,0.08338401807892692,20,0.0028012208713271685
Jackfruit-Artocarpus heterophyllus,2018,Flowers_bud,39,0.09383578905884281,29,0.008735608109954354,7,0.16248723656608202,11,0.06657161196489766
Jackfruit-Artocarpus heterophyllus,2019,Flowers_bud,30,0.09498529956508991,31,0.07062629300553837,11,0.08073698858473895,12,0.002815123530087029
Jackfruit-Artocarpus heterophyllus,2020,Flowers_bud,32,0.06978051992067529,30,0.0671245020638795,2,0.07817500403228168,7,0.0005164507784224687
Jackfruit-Artocarpus heterophyllus,2021,Flowers_bud,24,0.0889307314680285,33,0.013552830375303406,9,0.06009380051637287,10,0.0018998422812614277
Jackfruit-Artocarpus heterophyllus,2022,Flowers_bud,33,0.06501008154927579,33,0.06501008154927579,11,0.08143983435607806,13,0.0052588226366139905
Jackfruit-Artocarpus heterophyllus,2023,Flowers_bud,28,0.08379768672613391,20,0.015034360634016869,5,0.07551689115315956,8,0.007392549583211873
Jackfruit-Artocarpus heterophyllus,2018,Flowers_male,39,0.08107524764807816,31,0.03307315392305186,8,0.16934607506833876,12,0.05859289549298758
Jackfruit-Artocarpus heterophyllus,2019,Flowers_male,30,0.09231325364179493,32,0.07297890133893886,11,0.07706754477536189,12,0.0021623637729761944
Jackfruit-Artocarpus heterophyllus,2020,Flowers_male,31,0.07217150368288543,30,0.0682155345726766,7,0.08087911337708477,8,0.0005264535913345083
Jackfruit-Artocarpus heterophyllus,2021,Flowers_male,24,0.08887312474222814,32,0.004361605149501804,9,0.05948095711860728,10,0.002164311317627619
Jackfruit-Artocarpus heterophyllus,2022,Flowers_male,33,0.06512718596986401,33,0.06512718596986401,11,0.10791210442074367,12,0.005844568325469138
