species_id,species_primary_common_name,species_scientific_name
1000,White Babool,Acacia leucophloea
1001,Babool,Acacia nilotica
1002,Wood Apple,Aegle marmelos
1003,Indian Horsechestnut,Aesculus indica
1004,Tree of Heaven,Ailanthus excelsa
1005,Krishna Siris,Albizia amara
1006,Siris,Albizia lebbeck
1007,White Siris,Albizia procera
1008,Devil's Tree,Alstonia scholaris
1009,Axlewood,Anogeissus latifolia
1010,Grey Mangrove,Avicennia marina
1011,Neem,Azadirachta indica
1012,Purple Bauhinia,Bauhinia purpurea
1013,Jhinjheri,Bauhinia racemosa
1014,Semla,Bauhinia retusa
1015,Red Silk Cotton,Bombax ceiba
1016,Toddy Palm,Borassus flabellifer
1017,Flame of the Forest,Butea monosperma
1018,Black Dammer,Canarium strictum
1019,Fish-tail Palm,Caryota urens
1020,Indian Laburnum,Cassia fistula
1021,White Silk Cotton,Ceiba pentandra
1022,Floss Silk Tree,Ceiba speciosa
1023,Yellow Silk Cotton,Cochlospermum religiosum
1024,Mountain Coffee,Coffea arabica
1025,Robusta Coffee,Coffea robusta
1026,Large Sebesten,Cordia wallichii
1027,Tanner's Tree,Coriaria nepalensis
1028,Takoli,Dalbergia lanceolaria
1029,Indian Rosewood,Dalbergia sissoo
1030,Gulmohur,Delonix regia
1031,Elephant Apple,Dillenia indica
1032,Karkat,Dillenia pentagyna
1033,Duabanga,Duabanga grandiflora
1034,Indian Coral,Erythrina indica
1035,Banyan,Ficus benghalensis
1036,Country Fig,Ficus racemosa
1037,Peepal,Ficus religiosa
1038,Garuga,Garuga pinnata
1039,Quickstick,Gliricidia sepium
1040,Gamar,Gmelina arborea
1041,Indian Elm,Holoptelea integrifolia
1042,Jacaranda,Jacaranda mimosifolia
1043,Sausage Tree,Kigelia africana
1044,"Roxburghs Kydia, Pulia",Kydia calycina
1045,Pride of India,Lagerstroemia speciosa
1046,Lantana,Lantana camara
1047,Chandada,Macaranga peltata
1048,Mahua,Madhuca longifolia (var. latifolia)
1050,Chinaberry,Melia azedarach
1051,Nag Champa,Mesua ferrea
