Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week,Lat,Long,Observation_ID,User_id,User_Tree_id
2016-08-04,Devil's Tree-Alstonia scholaris,2.0,1.0,,1.0,0.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134945.0,15304.0,8536.0
2018-01-12,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,1,31.02226,76.71472,188719.0,15304.0,8536.0
2016-08-25,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,30,31.02226,76.71472,136120.0,15304.0,8536.0
2016-09-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,31,31.02226,76.71472,136478.0,15304.0,8536.0
2016-12-19,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,45,31.02226,76.71472,148043.0,15304.0,8536.0
2018-01-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2018,0,31.02226,76.71472,186297.0,15304.0,8536.0
2018-02-20,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,1.0,,,0.0,0.0,,2018,6,31.02226,76.71472,201625.0,15304.0,8536.0
2018-02-08,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,1.0,,,0.0,0.0,,2018,5,31.02226,76.71472,192845.0,15304.0,8536.0
2018-02-01,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,1.0,,,0.0,0.0,,2018,4,31.02226,76.71472,192843.0,15304.0,8536.0
2018-03-12,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,9,31.02226,76.71472,201622.0,15304.0,8536.0
2018-04-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2018,11,31.02226,76.71472,201620.0,15304.0,8536.0
2016-08-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134993.0,15304.0,8536.0
2016-08-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134556.0,15304.0,8536.0
2021-01-30,Soft fig-Ficus mollis,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2021,3,32.11607,76.38385,472225.0,22892.0,98278.0
2021-01-30,Soft fig-Ficus mollis,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2021,3,32.11607,76.38385,472221.0,22892.0,98277.0
2021-01-30,Five-leaved vitex-Vitex negundo,1.0,2.0,2.0,0.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2021,3,32.11769,76.38355,472235.0,22892.0,98282.0
2019-06-09,Gamar-Gmelina arborea,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,20,30.85661,77.16921,313966.0,20346.0,46831.0
2018-12-01,Grey Oak-Quercus leucotrichophora,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,43,31.06601,77.1771,235893.0,18811.0,14368.0
2021-02-04,Guava tree-Psidium guajava,-1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2021,4,31.46851,76.2705,476129.0,22940.0,98501.0
2017-01-08,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1,31.03107,76.70555,153282.0,15307.0,8425.0
2017-01-19,Gulmohur-Delonix regia,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2,31.03107,76.70555,155021.0,15307.0,8425.0
2016-11-14,Gulmohur-Delonix regia,-1.0,2.0,,-1.0,1.0,,,-1.0,1.0,,2016,41,31.03107,76.70555,142893.0,15307.0,8425.0
2017-04-16,Gulmohur-Delonix regia,2.0,-1.0,,1.0,0.0,,,0.0,1.0,,2017,13,31.03107,76.70555,165700.0,15307.0,8425.0
2016-09-01,Gulmohur-Delonix regia,1.0,0.0,,0.0,0.0,,,1.0,1.0,,2016,31,31.03107,76.70555,136461.0,15307.0,8425.0
2016-10-27,Gulmohur-Delonix regia,0.0,2.0,,0.0,1.0,,,1.0,-1.0,,2016,38,31.03107,76.70555,141339.0,15307.0,8425.0
2017-05-21,Gulmohur-Delonix regia,2.0,0.0,,2.0,2.0,,,0.0,0.0,,2017,18,31.03107,76.70555,167508.0,15307.0,8425.0
2016-10-16,Gulmohur-Delonix regia,-1.0,2.0,,0.0,1.0,,,-1.0,1.0,,2016,37,31.03107,76.70555,139952.0,15307.0,8425.0
2017-05-14,Gulmohur-Delonix regia,2.0,-1.0,,2.0,2.0,,,0.0,0.0,,2017,17,31.03107,76.70555,167268.0,15307.0,8425.0
2017-05-08,Gulmohur-Delonix regia,2.0,-1.0,,2.0,2.0,,,0.0,0.0,,2017,16,31.03107,76.70555,167060.0,15307.0,8425.0
2017-03-04,Gulmohur-Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,0.0,,2017,8,31.03107,76.70555,161290.0,15307.0,8425.0
2017-03-20,Gulmohur-Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,0.0,,2017,10,31.03107,76.70555,163442.0,15307.0,8425.0
2017-02-27,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2017,7,31.03107,76.70555,160756.0,15307.0,8425.0
2017-02-01,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,4,31.03107,76.70555,156849.0,15307.0,8425.0
2016-08-23,Gulmohur-Delonix regia,1.0,2.0,,1.0,2.0,,,2.0,-1.0,,2016,30,31.03107,76.70555,135956.0,15307.0,8425.0
2017-06-10,Gulmohur-Delonix regia,2.0,1.0,,2.0,2.0,,,2.0,-1.0,,2017,20,31.03107,76.70555,168593.0,15307.0,8425.0
2017-02-14,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2017,5,31.03107,76.70555,159272.0,15307.0,8425.0
2016-11-03,Gulmohur-Delonix regia,0.0,2.0,,0.0,1.0,,,0.0,0.0,,2016,39,31.03107,76.70555,142024.0,15307.0,8425.0
2016-07-01,Gulmohur-Delonix regia,2.0,1.0,,1.0,2.0,,,0.0,0.0,,2016,23,31.03107,76.70555,131881.0,15307.0,8425.0
2016-10-01,Gulmohur-Delonix regia,0.0,2.0,,1.0,1.0,,,1.0,0.0,,2016,35,31.03107,76.70555,138532.0,15307.0,8425.0
2016-06-16,Gulmohur-Delonix regia,2.0,1.0,,1.0,2.0,,,1.0,2.0,,2016,21,31.03107,76.70555,131532.0,15307.0,8425.0
2016-12-25,Gulmohur-Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,1.0,,2016,46,31.03107,76.70555,148409.0,15307.0,8425.0
2016-08-12,Gulmohur-Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,28,31.03107,76.70555,135425.0,15307.0,8425.0
2016-12-01,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,1.0,,2016,43,31.03107,76.70555,145005.0,15307.0,8425.0
2016-09-24,Gulmohur-Delonix regia,2.0,1.0,,2.0,1.0,,,0.0,0.0,,2016,34,31.03107,76.70555,138206.0,15307.0,8425.0
2016-11-26,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2016,42,31.03107,76.70555,144130.0,15307.0,8425.0
2016-10-03,Gulmohur-Delonix regia,1.0,2.0,,1.0,1.0,,,1.0,1.0,,2016,35,31.03107,76.70555,139642.0,15307.0,8425.0
2016-10-10,Gulmohur-Delonix regia,1.0,2.0,,-1.0,1.0,,,1.0,1.0,,2016,36,31.03107,76.70555,139643.0,15307.0,8425.0
2016-12-08,Gulmohur-Delonix regia,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,44,31.03107,76.70555,145756.0,15307.0,8425.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,2.0,0.0,0.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43,31.06486,77.17783,241493.0,18811.0,19856.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,1.0,0.0,0.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43,31.06601,77.1771,241466.0,18811.0,19830.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43,31.06601,77.1771,241451.0,18811.0,19814.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43,31.06601,77.1771,241436.0,18811.0,19799.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43,31.06601,77.1771,241427.0,18811.0,19791.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43,31.06601,77.1771,241348.0,18811.0,19712.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,2.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43,31.06601,77.1771,241359.0,18811.0,19723.0
2021-02-02,Himalayan Cherry-Prunus cerasoides,0.0,0.0,1.0,2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4,31.43458,78.26061,475959.0,22892.0,98466.0
2021-01-21,Himalayan Cherry-Prunus cerasoides,0.0,0.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2,31.43458,78.26061,475947.0,22892.0,98454.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43,31.06601,77.1771,240691.0,18811.0,19071.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43,31.06601,77.1771,240713.0,18811.0,19092.0
2018-12-02,Himalayan Cherry-Prunus cerasoides,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43,31.06601,77.1771,240727.0,18811.0,19104.0
2021-01-21,Himalayan Maple-Acer sterculiaceum,0.0,0.0,2.0,0.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2,31.43458,78.26061,475948.0,22892.0,98455.0
