,Unnamed: 0,id,species_id,species_name,updated_at,week,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open
0,0,1,1001,Babool-Acacia nilotica,,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
1,1,1,1001,Babool-Acacia nilotica,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2,2,1,1001,Babool-Acacia nilotica,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3,3,1,1001,Babool-Acacia nilotica,,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4,4,1,1001,Babool-Acacia nilotica,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5,5,1,1001,Babool-Acacia nilotica,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
6,6,1,1001,Babool-Acacia nilotica,,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7,7,1,1001,Babool-Acacia nilotica,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
8,8,1,1001,Babool-Acacia nilotica,,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
9,9,1,1001,Babool-Acacia nilotica,,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10,10,1,1001,Babool-Acacia nilotica,,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
11,11,1,1001,Babool-Acacia nilotica,,11,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
12,12,1,1001,Babool-Acacia nilotica,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
13,13,1,1001,Babool-Acacia nilotica,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
14,14,1,1001,Babool-Acacia nilotica,,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
15,15,1,1001,Babool-Acacia nilotica,,15,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
16,16,1,1001,Babool-Acacia nilotica,,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
17,17,1,1001,Babool-Acacia nilotica,,17,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
18,18,1,1001,Babool-Acacia nilotica,,18,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
19,19,1,1001,Babool-Acacia nilotica,,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
20,20,1,1001,Babool-Acacia nilotica,,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
21,21,1,1001,Babool-Acacia nilotica,,21,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
22,22,1,1001,Babool-Acacia nilotica,,22,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
23,23,1,1001,Babool-Acacia nilotica,,23,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24,24,1,1001,Babool-Acacia nilotica,,24,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
25,25,1,1001,Babool-Acacia nilotica,,25,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
26,26,1,1001,Babool-Acacia nilotica,,26,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
27,27,1,1001,Babool-Acacia nilotica,,27,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
28,28,1,1001,Babool-Acacia nilotica,,28,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
29,29,1,1001,Babool-Acacia nilotica,,29,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
30,30,1,1001,Babool-Acacia nilotica,,30,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
31,31,1,1001,Babool-Acacia nilotica,,31,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
32,32,1,1001,Babool-Acacia nilotica,,32,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
33,33,1,1001,Babool-Acacia nilotica,,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
34,34,1,1001,Babool-Acacia nilotica,,34,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
35,35,1,1001,Babool-Acacia nilotica,,35,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36,36,1,1001,Babool-Acacia nilotica,,36,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
37,37,1,1001,Babool-Acacia nilotica,,37,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
38,38,1,1001,Babool-Acacia nilotica,,38,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
39,39,1,1001,Babool-Acacia nilotica,,39,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
40,40,1,1001,Babool-Acacia nilotica,,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
41,41,1,1001,Babool-Acacia nilotica,,41,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
42,42,1,1001,Babool-Acacia nilotica,,42,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
43,43,1,1001,Babool-Acacia nilotica,,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
44,44,1,1001,Babool-Acacia nilotica,,44,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
45,45,1,1001,Babool-Acacia nilotica,,45,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
46,46,1,1001,Babool-Acacia nilotica,,46,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
47,47,1,1001,Babool-Acacia nilotica,,47,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
48,48,2,1003,Indian Horsechestnut-Aesculus indica,,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
49,49,2,1003,Indian Horsechestnut-Aesculus indica,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
50,50,2,1003,Indian Horsechestnut-Aesculus indica,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
51,51,2,1003,Indian Horsechestnut-Aesculus indica,,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
52,52,2,1003,Indian Horsechestnut-Aesculus indica,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
53,53,2,1003,Indian Horsechestnut-Aesculus indica,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
54,54,2,1003,Indian Horsechestnut-Aesculus indica,,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
55,55,2,1003,Indian Horsechestnut-Aesculus indica,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
56,56,2,1003,Indian Horsechestnut-Aesculus indica,,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
57,57,2,1003,Indian Horsechestnut-Aesculus indica,,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
58,58,2,1003,Indian Horsechestnut-Aesculus indica,,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
59,59,2,1003,Indian Horsechestnut-Aesculus indica,,11,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
60,60,2,1003,Indian Horsechestnut-Aesculus indica,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
61,61,2,1003,Indian Horsechestnut-Aesculus indica,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
62,62,2,1003,Indian Horsechestnut-Aesculus indica,,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
63,63,2,1003,Indian Horsechestnut-Aesculus indica,,15,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
64,64,2,1003,Indian Horsechestnut-Aesculus indica,,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
