State_name,Species_id,Species_name,Year,Attribute,Mean_start_transition_time,Std_start_transition_time,Max_probability_start_transition_week,Mean_end_transition_time,Std_end_transition_time,Max_probability_end_transition_week
Kerala,1090,Mango (all varieties)-Mangifera indica,2018,Flowers_bud,32,6.966885462618149,37,14,5.364110827925632,9
Kerala,1090,Mango (all varieties)-Mangifera indica,2019,Flowers_bud,32,5.690152213998066,33,12,7.4155967968068905,11
Kerala,1090,Mango (all varieties)-Mangifera indica,2020,Flowers_bud,30,6.316206496490796,33,8,6.012755789009311,8
Kerala,1090,Mango (all varieties)-Mangifera indica,2021,Flowers_bud,37,8.839900155939533,35,9,7.839618087625588,9
Kerala,1090,Mango (all varieties)-Mangifera indica,2022,Flowers_bud,32,7.438477156500019,34,11,8.158369744573427,11
Kerala,1090,Mango (all varieties)-Mangifera indica,2023,Flowers_bud,20,7.123180563159635,27,9,7.672686887470597,8
Kerala,1090,Mango (all varieties)-Mangifera indica,2018,Flowers_open,32,6.936359047325631,33,14,5.229894663822593,9
Kerala,1090,Mango (all varieties)-Mangifera indica,2019,Flowers_open,34,5.890741266937515,36,13,6.9307744487432,11
Kerala,1090,Mango (all varieties)-Mangifera indica,2020,Flowers_open,31,6.52565316489442,33,9,5.8462443321993405,8
Kerala,1090,Mango (all varieties)-Mangifera indica,2021,Flowers_open,38,9.140825184809117,37,10,7.985239464210285,7
Kerala,1090,Mango (all varieties)-Mangifera indica,2022,Flowers_open,33,7.182749754278634,36,11,8.458005759178771,10
Kerala,1090,Mango (all varieties)-Mangifera indica,2023,Flowers_open,20,6.333987368573263,27,10,7.622649764931104,9
Kerala,1090,Mango (all varieties)-Mangifera indica,2018,Fruits_unripe,39,9.368357662235946,47,17,5.122818168381453,17
Kerala,1090,Mango (all varieties)-Mangifera indica,2019,Fruits_unripe,37,6.669726307734303,36,20,6.060060366296005,19
Kerala,1090,Mango (all varieties)-Mangifera indica,2020,Fruits_unripe,37,6.768787434520488,33,15,5.848858400765425,17
Kerala,1090,Mango (all varieties)-Mangifera indica,2021,Fruits_unripe,41,7.407918511592615,46,17,6.6761633879295195,15
Kerala,1090,Mango (all varieties)-Mangifera indica,2022,Fruits_unripe,38,7.474219911505568,37,18,6.372300788526728,18
Kerala,1090,Mango (all varieties)-Mangifera indica,2023,Fruits_unripe,18,7.529567922552933,32,17,7.2308247409140645,17
Kerala,1090,Mango (all varieties)-Mangifera indica,2018,Fruits_ripe,46,8.750086059602474,47,23,6.508381167117784,21
Kerala,1090,Mango (all varieties)-Mangifera indica,2019,Fruits_ripe,45,6.609911170897989,47,24,5.930749515850678,23
Kerala,1090,Mango (all varieties)-Mangifera indica,2020,Fruits_ripe,44,7.8058344819417895,44,22,5.610341205121509,20
Kerala,1090,Mango (all varieties)-Mangifera indica,2021,Fruits_ripe,45,6.749514073423105,46,23,7.0267663656510475,23
