Observation_ID,Date_of_observation,User_id,User_Tree_id,Species_name,Lat,Long,State_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
652417.0,2023-04-01,20063.0,133644.0,African tulip- Spathodea campanulata,11.98689,79.78723,Tamil Nadu,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2023,12
652485.0,2023-04-01,20063.0,133705.0,African tulip- Spathodea campanulata,11.96587,79.79769,Tamil Nadu,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2023,12
652491.0,2023-04-01,20063.0,133711.0,African tulip- Spathodea campanulata,11.96514,79.79856,Tamil Nadu,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2023,12
542491.0,2021-11-20,20063.0,106737.0,African tulip- Spathodea campanulata,11.9676,79.79432,Tamil Nadu,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2021,42
650707.0,2023-03-28,26506.0,132060.0,African tulip- Spathodea campanulata,10.96156,76.80581,Tamil Nadu,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,2.0,2.0,2023,11
650791.0,2023-03-28,17296.0,132147.0,African tulip- Spathodea campanulata,11.03731,77.11546,Tamil Nadu,0.0,1.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2023,11
650802.0,2023-03-28,17296.0,132158.0,African tulip- Spathodea campanulata,11.03586,77.11661,Tamil Nadu,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,1.0,2023,11
650804.0,2023-03-28,17296.0,132160.0,African tulip- Spathodea campanulata,11.03586,77.11661,Tamil Nadu,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2023,11
650880.0,2023-03-28,26506.0,132236.0,African tulip- Spathodea campanulata,10.95745,76.80927,Tamil Nadu,0.0,1.0,1.0,1.0,1.0,-2.0,-2.0,2.0,2.0,2.0,2023,11
651076.0,2023-03-29,17296.0,132398.0,African tulip- Spathodea campanulata,11.01736,77.01801,Tamil Nadu,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,-1.0,2.0,2023,11
651079.0,2023-03-29,17296.0,132401.0,African tulip- Spathodea campanulata,11.01736,77.01801,Tamil Nadu,0.0,2.0,0.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2023,11
301198.0,2019-03-17,17296.0,41395.0,African tulip- Spathodea campanulata,11.01103,76.99767,Tamil Nadu,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,2019,10
676733.0,2023-07-16,26506.0,142466.0,African tulip- Spathodea campanulata,10.96208,76.80566,Tamil Nadu,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2023,25
651118.0,2023-03-29,27167.0,132430.0,African tulip- Spathodea campanulata,10.9571,76.82207,Tamil Nadu,2.0,2.0,0.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,11
401088.0,2020-02-18,21613.0,83071.0,African tulip- Spathodea campanulata,13.05727,80.25883,Tamil Nadu,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2020,6
651423.0,2023-03-30,20063.0,132720.0,African tulip- Spathodea campanulata,12.00983,79.788,Tamil Nadu,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,11
677254.0,2023-07-16,26506.0,142969.0,African tulip- Spathodea campanulata,10.96057,76.81034,Tamil Nadu,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2023,25
677241.0,2023-07-16,15289.0,142956.0,African tulip- Spathodea campanulata,11.04602,76.89811,Tamil Nadu,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,25
395511.0,2020-01-31,21613.0,83071.0,African tulip- Spathodea campanulata,13.05727,80.25883,Tamil Nadu,2.0,2.0,1.0,2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2020,4
164443.0,2017-03-29,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,0.0,2.0,,0.0,0.0,,,1.0,0.0,,2017,11
