Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2022-12-13,Arjun tree- Terminalia arjuna,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2022,44
2023-12-03,Arjun tree- Terminalia arjuna,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2023,43
2022-12-02,Axlewood tree- Anogeissus latifolia,-1.0,2.0,-1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,43
2022-12-03,Axlewood tree- Anogeissus latifolia,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,43
2023-03-28,Babool- Acacia nilotica,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,-1.0,-2.0,2023,11
2023-03-28,Babool- Acacia nilotica,1.0,2.0,0.0,-1.0,-1.0,-2.0,-2.0,2.0,0.0,-2.0,2023,11
2022-04-24,Babool- Acacia nilotica,2.0,2.0,0.0,-1.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2022,14
2022-12-09,Babool- Acacia nilotica,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,1.0,2.0,-2.0,2022,44
2023-11-17,Babool- Acacia nilotica,2.0,1.0,-1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,41
2023-11-17,Babool- Acacia nilotica,2.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2023,41
2023-12-02,Babool- Acacia nilotica,0.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,43
2023-11-27,Babool- Acacia nilotica,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,1.0,-2.0,2023,42
2019-03-12,Babool- Acacia nilotica,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,2019,9
