Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2022-04-14,Anogeissus pendula-Kardhai,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,2.0,0.0,2022,13
2022-08-27,Anogeissus pendula-Kardhai,0.0,2.0,0.0,2.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2022,30
2022-05-21,Anogeissus pendula-Kardhai,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,18
2022-07-16,Anogeissus pendula-Kardhai,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,25
2022-05-12,Anogeissus pendula-Kardhai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,16
2022-07-04,Anogeissus pendula-Kardhai,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,23
2022-12-10,Anogeissus pendula-Kardhai,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,2.0,-2.0,2022,44
2022-10-15,Anogeissus pendula-Kardhai,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2022,37
2022-11-29,Anogeissus pendula-Kardhai,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2022,42
2022-09-18,Anogeissus pendula-Kardhai,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2022,33
2022-06-06,Anogeissus pendula-Kardhai,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,20
2022-08-07,Anogeissus pendula-Kardhai,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2022,28
2022-09-11,Anogeissus pendula-Kardhai,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2022,32
2022-05-12,Babool- Acacia nilotica,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,16
2022-05-01,Babool- Acacia nilotica,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2022,15
2023-05-10,Babool- Acacia nilotica,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2023,16
2023-05-29,Babool- Acacia nilotica,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023,19
2022-04-07,Babool- Acacia nilotica,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2022,12
