Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2016-10-11,Banyan-Ficus benghalensis,1.0,2.0,,0.0,1.0,,,1.0,2.0,,2016,36
2023-11-04,Champa- Michelia champaca,1.0,2.0,1.0,0.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2023,39
2023-11-04,Chiku- Sapodilla-Manilkara zapota ,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2019-09-16,Chinaberry- Melia azedarach,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2019,33
2020-03-30,Chinaberry- Melia azedarach,2.0,0.0,0.0,0.0,2.0,-2.0,-2.0,0.0,2.0,-2.0,2020,11
2019-03-15,Chinaberry- Melia azedarach,2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2019,9
2022-04-22,Coconut palm-Cocos nucifera,2.0,1.0,1.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2022,14
2019-09-16,Country Fig- Ficus racemosa,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2019,33
2019-09-16,Country Fig- Ficus racemosa,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,2019,33
2018-05-05,Country Fig- Ficus racemosa,1.0,2.0,,-1.0,-1.0,,,2.0,-1.0,,2018,16
2018-06-12,Country Fig- Ficus racemosa,1.0,2.0,,0.0,0.0,,,2.0,0.0,,2018,20
2018-04-04,Country Fig- Ficus racemosa,1.0,2.0,,-1.0,-1.0,,,2.0,2.0,,2018,12
2019-03-15,Country Fig- Ficus racemosa,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2019,9
2023-11-09,Crepe Jasmine- Tabernaemontana divaricata,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,40
2019-06-11,Curry leaf plant-Murraya koenigii,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,20
2019-12-15,Devil's tree- Alstonia scholaris,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-1.0,1.0,2019,44
2023-12-10,Devil's tree- Alstonia scholaris,1.0,2.0,0.0,-1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,44
2019-10-25,Devil's tree- Alstonia scholaris,-2.0,-2.0,-2.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,38
2019-11-12,Devil's tree- Alstonia scholaris,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2019,40
2023-12-15,Devil's tree- Alstonia scholaris,1.0,2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,44
2022-09-02,Devil's tree- Alstonia scholaris,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,31
2023-12-02,Devil's tree- Alstonia scholaris,0.0,2.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,43
2019-12-01,Devil's tree- Alstonia scholaris,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,-1.0,-1.0,1.0,2019,43
2021-11-21,Devil's tree- Alstonia scholaris,-1.0,2.0,-1.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2021,41
2020-01-04,Devil's tree- Alstonia scholaris,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,1.0,2020,0
2022-03-19,Devil's tree- Alstonia scholaris,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2022,10
2023-12-04,Devil's tree- Alstonia scholaris,1.0,2.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,43
2020-03-29,Devil's tree- Alstonia scholaris,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2020,11
2023-11-04,Devil's tree- Alstonia scholaris,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2023,39
2019-03-18,Devil's tree- Alstonia scholaris,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,2019,9
2021-11-25,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,42
2021-01-22,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2021,2
2023-11-09,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,2023,40
2019-11-28,Drumstick tree-Moringa oleifera,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,42
2019-11-01,Drumstick tree-Moringa oleifera,1.0,2.0,2.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,39
2020-02-05,Drumstick tree-Moringa oleifera,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2020,4
2018-11-19,Drumstick tree-Moringa oleifera,-1.0,2.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,2.0,-2.0,2018,41
2020-02-25,Drumstick tree-Moringa oleifera,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2020,7
