Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2021-01-30,Five-leaved vitex-Vitex negundo,1.0,2.0,2.0,0.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2021,3
2019-06-09,Gamar- Gmelina arborea,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,20
2018-12-01,Grey Oak- Quercus leucotrichophora,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,43
2021-02-04,Guava tree-Psidium guajava,-1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2021,4
2017-01-08,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1
2017-01-19,Gulmohur- Delonix regia,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2
2016-11-14,Gulmohur- Delonix regia,-1.0,2.0,,-1.0,1.0,,,-1.0,1.0,,2016,41
2017-04-16,Gulmohur- Delonix regia,2.0,-1.0,,1.0,0.0,,,0.0,1.0,,2017,13
2016-09-01,Gulmohur- Delonix regia,1.0,0.0,,0.0,0.0,,,1.0,1.0,,2016,31
2016-10-27,Gulmohur- Delonix regia,0.0,2.0,,0.0,1.0,,,1.0,-1.0,,2016,38
2017-05-21,Gulmohur- Delonix regia,2.0,0.0,,2.0,2.0,,,0.0,0.0,,2017,18
2016-10-16,Gulmohur- Delonix regia,-1.0,2.0,,0.0,1.0,,,-1.0,1.0,,2016,37
2017-05-14,Gulmohur- Delonix regia,2.0,-1.0,,2.0,2.0,,,0.0,0.0,,2017,17
2017-05-08,Gulmohur- Delonix regia,2.0,-1.0,,2.0,2.0,,,0.0,0.0,,2017,16
2017-03-04,Gulmohur- Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,0.0,,2017,8
2017-03-20,Gulmohur- Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,0.0,,2017,10
2017-02-27,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2017,7
2017-02-01,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,4
2016-08-23,Gulmohur- Delonix regia,1.0,2.0,,1.0,2.0,,,2.0,-1.0,,2016,30
2017-06-10,Gulmohur- Delonix regia,2.0,1.0,,2.0,2.0,,,2.0,-1.0,,2017,20
2017-02-14,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2017,5
2016-11-03,Gulmohur- Delonix regia,0.0,2.0,,0.0,1.0,,,0.0,0.0,,2016,39
2016-07-01,Gulmohur- Delonix regia,2.0,1.0,,1.0,2.0,,,0.0,0.0,,2016,23
2016-10-01,Gulmohur- Delonix regia,0.0,2.0,,1.0,1.0,,,1.0,0.0,,2016,35
2016-06-16,Gulmohur- Delonix regia,2.0,1.0,,1.0,2.0,,,1.0,2.0,,2016,21
2016-12-25,Gulmohur- Delonix regia,0.0,0.0,,0.0,0.0,,,0.0,1.0,,2016,46
2016-08-12,Gulmohur- Delonix regia,1.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,28
2016-12-01,Gulmohur- Delonix regia,0.0,1.0,,0.0,0.0,,,1.0,1.0,,2016,43
2016-09-24,Gulmohur- Delonix regia,2.0,1.0,,2.0,1.0,,,0.0,0.0,,2016,34
