,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
0,2022-12-29,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2022,46
1,2022-12-25,African Tulip-Spathodea campanulata,0.0,2.0,2.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2022,46
2,2022-05-07,Amla-Phyllanthus emblica,2.0,2.0,0.0,2.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2022,16
3,2018-12-01,Amla-Phyllanthus emblica,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2018,43
4,2022-12-29,Arjun-Terminalia arjuna,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,-2.0,2022,46
5,2022-12-27,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,0.0,0.0,2022,46
6,2022-12-30,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2022,46
7,2022-12-29,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,2.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2022,46
8,2022-12-27,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2022,46
9,2022-12-30,Badminton-ball Tree-Parkia biglandulosa,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2022,46
10,2023-01-01,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,2.0,0.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2022,0
11,2022-12-25,Badminton-ball Tree-Parkia biglandulosa,0.0,2.0,2.0,2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,46
12,2018-12-01,Badminton-ball Tree-Parkia biglandulosa,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,2018,43
13,2018-12-01,Banyan-Ficus benghalensis,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
14,2023-01-01,Ber-Ziziphus mauritiana,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,0
15,2022-12-25,Ber-Ziziphus mauritiana,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,2.0,2.0,-2.0,2022,46
16,2022-12-25,Ber-Ziziphus mauritiana,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,2.0,2.0,-2.0,2022,46
17,2018-12-01,Ber-Ziziphus mauritiana,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2018,43
18,2022-12-29,Bottle brush-Melaleuca viminalis,1.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2022,46
19,2022-12-29,Bottle brush-Melaleuca viminalis,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
20,2022-04-28,Bottle brush-Melaleuca viminalis,2.0,2.0,1.0,0.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2022,15
21,2022-05-09,Box Myrtle-Myrica esculenta,2.0,2.0,0.0,2.0,0.0,-2.0,-2.0,1.0,2.0,-2.0,2022,16
22,2018-12-01,Champa-Michelia champaca,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
23,2022-12-25,Chinaberry-Melia azedarach,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
24,2023-01-01,Chinaberry-Melia azedarach,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2022,0
25,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
26,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
27,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
28,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
29,2022-12-29,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,2022,46
30,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,2022,46
31,2022-12-29,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,2022,46
32,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
33,2022-12-30,Chir pine-Pinus roxburghii,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,2022,46
34,2022-04-29,Country Fig-Ficus racemosa,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2022,15
35,2022-04-30,Country Fig-Ficus racemosa,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2022,15
36,2022-05-03,Country Fig-Ficus racemosa,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2022,15
37,2018-12-01,Country Fig-Ficus racemosa,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,2018,43
38,2022-12-29,Country Fig-Ficus racemosa,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2022,46
39,2018-12-01,Curry leaf plant-Murraya koenigii,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
40,2022-05-19,Devil's Tree-Alstonia scholaris,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,17
41,2023-01-01,Duabanga-Duabanga grandiflora,2.0,2.0,1.0,2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,0
42,2023-01-01,Duabanga-Duabanga grandiflora,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,0
43,2023-01-01,Duabanga-Duabanga grandiflora,2.0,2.0,2.0,2.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2022,0
44,2023-01-01,Duabanga-Duabanga grandiflora,2.0,2.0,2.0,2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,0
45,2022-05-11,Soft fig-Ficus mollis,2.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2022,16
46,2019-03-11,Flame of the Forest-Butea monosperma,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,9
47,2022-05-11,Grey Oak-Quercus leucotrichophora,2.0,1.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,2022,16
48,2018-12-01,Guava tree-Psidium guajava,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2018,43
49,2022-04-28,Guava tree-Psidium guajava,2.0,1.0,1.0,2.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,2022,15
