Unnamed: 0.2,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week,Lat,Long,Observation_ID,User_id,User_Tree_id
0,2019-09-19,Arjun-Terminalia arjuna,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2019,33,28.49799,77.14786,357814.0,19387.0,76447.0
1,2023-11-29,Arjun-Terminalia arjuna,1.0,2.0,0.0,-1.0,-1.0,-2.0,-2.0,2.0,2.0,-2.0,2023,42,28.6298,77.24586,707557.0,24423.0,150138.0
2,2023-11-09,Babool-Acacia nilotica,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40,28.64126,77.17759,701548.0,28461.0,148008.0
3,2023-11-06,Banyan-Ficus benghalensis,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39,28.55163,77.21505,700899.0,28461.0,147712.0
4,2016-03-22,Banyan-Ficus benghalensis,2.0,1.0,,0.0,0.0,,,0.0,0.0,,2016,10,28.59913,77.0694,128406.0,14755.0,7874.0
5,2015-11-03,Banyan-Ficus benghalensis,2.0,2.0,,2.0,2.0,,,1.0,2.0,,2015,39,28.59913,77.0694,111072.0,14755.0,7874.0
6,2015-11-24,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,1.0,0.0,,2015,42,28.59913,77.0694,112932.0,14755.0,7874.0
7,2016-02-09,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,5,28.59913,77.0694,122205.0,14755.0,7874.0
8,2015-12-01,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,1.0,1.0,,2015,43,28.59913,77.0694,113327.0,14755.0,7874.0
9,2016-03-01,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,7,28.59913,77.0694,122202.0,14755.0,7874.0
10,2019-12-13,Banyan-Ficus benghalensis,2.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,44,28.55848,77.20037,381029.0,17932.0,80317.0
11,2016-02-16,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,6,28.59913,77.0694,124053.0,14755.0,7874.0
12,2016-02-23,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,6,28.59913,77.0694,124052.0,14755.0,7874.0
13,2015-11-10,Banyan-Ficus benghalensis,1.0,2.0,,2.0,0.0,,,2.0,1.0,,2015,40,28.59913,77.0694,111708.0,14755.0,7874.0
14,2015-11-17,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,2.0,1.0,,2015,41,28.59913,77.0694,112440.0,14755.0,7874.0
15,2016-03-08,Banyan-Ficus benghalensis,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2016,8,28.59913,77.0694,126770.0,14755.0,7874.0
16,2016-09-20,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,33,28.59913,77.0694,137678.0,14755.0,7874.0
17,2016-09-06,Banyan-Ficus benghalensis,1.0,2.0,,0.0,0.0,,,0.0,2.0,,2016,32,28.59913,77.0694,137471.0,14755.0,7874.0
18,2016-09-13,Banyan-Ficus benghalensis,1.0,2.0,,0.0,0.0,,,0.0,2.0,,2016,33,28.59913,77.0694,137472.0,14755.0,7874.0
19,2016-08-30,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,2.0,,2016,31,28.59913,77.0694,137470.0,14755.0,7874.0
20,2016-08-23,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,2.0,,2016,30,28.59913,77.0694,137469.0,14755.0,7874.0
21,2016-09-27,Banyan-Ficus benghalensis,0.0,2.0,,0.0,1.0,,,1.0,2.0,,2016,34,28.59913,77.0694,138467.0,14755.0,7874.0
22,2016-08-09,Banyan-Ficus benghalensis,1.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,28,28.59913,77.0694,135745.0,14755.0,7874.0
23,2016-08-16,Banyan-Ficus benghalensis,1.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,29,28.59913,77.0694,135746.0,14755.0,7874.0
24,2016-03-15,Banyan-Ficus benghalensis,0.0,1.0,,1.0,1.0,,,2.0,0.0,,2016,9,28.59913,77.0694,128045.0,14755.0,7874.0
25,2016-04-12,Banyan-Ficus benghalensis,2.0,1.0,,1.0,0.0,,,0.0,0.0,,2016,13,28.59913,77.0694,128048.0,14755.0,7874.0
26,2016-03-29,Banyan-Ficus benghalensis,2.0,1.0,,0.0,0.0,,,0.0,0.0,,2016,11,28.59913,77.0694,128049.0,14755.0,7874.0
27,2016-04-05,Banyan-Ficus benghalensis,2.0,1.0,,0.0,0.0,,,0.0,0.0,,2016,12,28.59913,77.0694,128047.0,14755.0,7874.0
