,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
37,2018-12-14,African Tulip-Spathodea campanulata,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2018,44
38,2023-11-11,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2023,40
39,2021-08-29,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,31
40,2020-01-20,African Tulip-Spathodea campanulata,1.0,2.0,1.0,0.0,1.0,-2.0,-2.0,2.0,1.0,0.0,2020,2
41,2022-03-21,African Tulip-Spathodea campanulata,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,10
42,2022-08-25,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2022,30
43,2021-11-20,African Tulip-Spathodea campanulata,1.0,2.0,1.0,0.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,2021,41
44,2022-08-25,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2022,30
45,2022-08-26,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2022,30
46,2018-12-02,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,,,1.0,1.0,,2018,43
47,2019-06-17,African Tulip-Spathodea campanulata,2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,21
48,2018-12-03,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,2018,43
49,2018-12-03,African Tulip-Spathodea campanulata,0.0,2.0,0.0,1.0,2.0,-2.0,-2.0,2.0,2.0,1.0,2018,43
50,2018-12-03,African Tulip-Spathodea campanulata,2.0,1.0,,1.0,1.0,,,-1.0,-1.0,,2018,43
51,2022-08-24,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2022,30
52,2021-04-25,African Tulip-Spathodea campanulata,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,14
53,2022-08-24,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2022,30
54,2018-02-05,African Tulip-Spathodea campanulata,0.0,2.0,,1.0,2.0,,,-1.0,1.0,,2018,4
55,2020-12-27,African Tulip-Spathodea campanulata,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2020,46
56,2021-11-21,African Tulip-Spathodea campanulata,2.0,2.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2021,41
57,2019-06-16,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2019,21
58,2019-03-18,African Tulip-Spathodea campanulata,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2019,9
59,2021-04-10,African Tulip-Spathodea campanulata,1.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,12
60,2021-06-20,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,22
61,2021-06-13,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,21
62,2018-12-04,African Tulip-Spathodea campanulata,0.0,2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,-1.0,-1.0,2018,43
63,2021-04-18,African Tulip-Spathodea campanulata,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2021,13
64,2021-02-14,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,0.0,2021,5
65,2021-03-14,African Tulip-Spathodea campanulata,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,2021,9
66,2022-06-07,African Tulip-Spathodea campanulata,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,20
67,2022-06-07,African Tulip-Spathodea campanulata,2.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2022,20
68,2019-01-11,African Tulip-Spathodea campanulata,0.0,1.0,1.0,2.0,2.0,-2.0,-2.0,-1.0,2.0,1.0,2019,1
69,2021-07-10,African Tulip-Spathodea campanulata,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2021,24
70,2019-12-29,African Tulip-Spathodea campanulata,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2019,46
71,2016-11-06,African Tulip-Spathodea campanulata,1.0,2.0,,2.0,2.0,,,2.0,1.0,,2016,40
72,2022-12-28,African Tulip-Spathodea campanulata,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,46
