Observation_ID,Date_of_observation,User_id,User_Tree_id,Species_id,Species_name,Lat,Long,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
648365.0,2023-03-14,27041.0,130705.0,1089.0,Ber-Ziziphus mauritiana,19.37157,81.9262,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,0.0,2023,9
648529.0,2023-03-06,27041.0,130800.0,1089.0,Ber-Ziziphus mauritiana,19.37157,81.9262,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,1.0,0.0,2023,8
610513.0,2022-08-31,22046.0,122053.0,1188.0,Chiku Sapodilla-Manilkara zapota,19.60457,81.47184,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2022,31
701139.0,2023-11-07,28373.0,147925.0,1184.0,Coconut palm-Cocos nucifera,21.27796,81.7107,2.0,2.0,1.0,-1.0,-1.0,-2.0,-2.0,2.0,2.0,-2.0,2023,40
291328.0,2019-03-15,19104.0,31975.0,1184.0,Coconut palm-Cocos nucifera,21.29435,81.63472,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
296479.0,2019-03-17,19104.0,36715.0,1184.0,Coconut palm-Cocos nucifera,21.26003,81.61644,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
298590.0,2019-03-17,19104.0,38759.0,1184.0,Coconut palm-Cocos nucifera,21.25987,81.61096,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
632137.0,2023-01-07,26371.0,129344.0,1184.0,Coconut palm-Cocos nucifera,22.09648,82.22976,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2023,0
395145.0,2020-01-30,20266.0,85165.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.24466,81.64184,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,2.0,2.0,-2.0,2020,3
295078.0,2019-03-16,19104.0,35336.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.28266,81.63538,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2019,9
235874.0,2018-12-01,18808.0,14348.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.14276,81.78439,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2018,43
291366.0,2019-03-15,19104.0,32010.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.29447,81.63753,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
298560.0,2019-03-17,19104.0,38729.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.26008,81.61187,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0,2019,9
291344.0,2019-03-15,19104.0,31991.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.29336,81.63651,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
291336.0,2019-03-15,19104.0,31983.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.29526,81.63552,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2019,9
235687.0,2018-12-01,18808.0,14176.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.14084,81.78542,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,2018,43
296460.0,2019-03-17,19104.0,36695.0,1061.0,Copper-pod-Peltophorum pterocarpum,21.25928,81.62142,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2019,9
