,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
0,2021-02-02,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
1,2021-01-21,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2
2,2023-04-01,Axlewood-Anogeissus latifolia,2.0,2.0,2.0,1.0,1.0,-2.0,-2.0,2.0,1.0,-2.0,2023,11
3,2021-01-30,Banyan-Ficus benghalensis,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2021,3
4,2021-02-04,Ber-Ziziphus mauritiana,2.0,1.0,0.0,1.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2021,4
5,2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
6,2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
7,2018-12-02,Bottle brush-Melaleuca viminalis,2.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
8,2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
9,2021-02-04,Curry leaf plant-Murraya koenigii,-1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
10,2023-11-14,Deodar-Cedrus deodara,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,1.0,2.0,0.0,2023,40
11,2016-11-24,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,42
12,2016-09-15,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,33
13,2016-12-08,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,44
14,2016-11-03,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,39
15,2016-10-06,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,36
16,2016-08-18,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,29
17,2016-12-26,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,46
18,2016-09-08,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,32
19,2016-11-17,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,41
20,2017-01-09,Devil's Tree-Alstonia scholaris,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1
21,2017-09-29,Devil's Tree-Alstonia scholaris,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,35
22,2016-08-11,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,2.0,,,0.0,0.0,,2016,28
23,2017-11-03,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,39
24,2017-11-21,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,41
25,2017-10-10,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2017,36
26,2017-01-16,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2
27,2017-01-23,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2
28,2017-01-30,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,3
29,2018-01-26,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,3
30,2017-02-13,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,5
31,2017-02-20,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,6
32,2017-02-06,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,4
33,2017-02-27,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,7
34,2018-07-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,2.0,1.0,,2018,23
35,2016-08-04,Devil's Tree-Alstonia scholaris,2.0,1.0,,1.0,0.0,,,0.0,0.0,,2016,27
36,2018-01-12,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,1
37,2016-08-25,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,30
38,2016-09-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,31
39,2016-12-19,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,45
40,2018-01-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2018,0
41,2018-02-20,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,1.0,,,0.0,0.0,,2018,6
42,2018-02-08,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,1.0,,,0.0,0.0,,2018,5
